,date_sold,Date_Sold_id
1720,2017-10-14,368
1726,2017-10-16,369
1730,2017-10-17,370
1735,2017-10-18,371
1738,2017-10-19,372
1742,2017-10-20,373
1748,2017-10-21,374
1753,2017-10-23,375
1755,2017-10-24,376
1766,2017-10-25,377
1769,2017-10-26,378
1772,2017-10-27,379
1773,2017-10-28,380
1782,2017-10-30,381
1786,2017-10-31,382
1797,2017-01-11,383
1798,2017-02-11,384
1804,2017-03-11,385
1812,2017-04-11,386
1813,2017-05-11,387
1818,2017-07-11,388
1823,2017-08-11,389
1826,2017-09-11,390
1829,2017-10-11,391
1835,2017-11-11,392
1842,2017-12-11,393
1845,2017-11-13,394
1849,2017-11-14,395
1850,2017-11-15,396
1855,2017-11-16,397
1858,2017-11-17,398
1868,2017-11-18,399
1875,2017-11-20,400
1880,2017-11-21,401
1885,2017-11-22,402
1888,2017-11-23,403
1894,2017-11-24,404
1901,2017-11-25,405
1909,2017-11-27,406
1914,2017-11-28,407
1921,2017-11-29,408
1926,2017-11-30,409
1930,2017-01-12,410
1931,2017-02-12,411
1932,2017-04-12,412
1934,2017-05-12,413
1938,2017-07-12,414
1942,2017-08-12,415
1949,2017-09-12,416
1953,2017-10-12,417
1958,2017-12-12,418
1961,2017-12-13,419
1966,2017-12-14,420
1969,2017-12-15,421
1976,2017-12-16,422
1978,2017-12-18,423
1980,2017-12-19,424
1985,2017-12-20,425
2003,2017-12-21,426
2015,2017-12-22,427
2024,2017-12-23,428
2025,2017-12-27,429
2026,2017-12-29,430
2029,2018-01-13,431
2030,2018-01-15,432
2033,2018-01-16,433
2039,2018-01-17,434
2043,2018-01-18,435
2045,2018-01-19,436
2050,2018-01-20,437
2051,2018-01-22,438
2052,2018-01-23,439
2053,2018-01-24,440
2060,2018-01-25,441
2065,2018-01-27,442
2066,2018-01-29,443
2075,2018-01-30,444
2081,2018-01-31,445
2085,2018-02-13,446
2097,2018-02-14,447
2100,2018-02-15,448
2106,2018-02-16,449
2114,2018-02-17,450
2123,2018-02-19,451
2127,2018-02-20,452
2131,2018-02-21,453
2136,2018-02-22,454
2142,2018-02-23,455
2149,2018-02-24,456
2158,2018-02-25,457
2160,2018-02-26,458
2167,2018-02-27,459
2173,2018-02-28,460
2175,2018-03-13,461
2178,2018-03-14,462
2182,2018-03-15,463
2185,2018-03-16,464
2195,2018-03-17,465
2212,2018-03-19,466
2215,2018-03-20,467
2218,2018-03-21,468
2223,2018-03-22,469
2229,2018-03-23,470
2240,2018-03-24,471
2249,2018-03-26,472
2251,2018-03-27,473
2253,2018-03-28,474
2259,2018-03-29,475
2269,2018-03-31,476
2271,2018-04-13,477
2278,2018-04-14,478
2288,2018-04-16,479
2293,2018-04-17,480
2298,2018-04-18,481
2305,2018-04-19,482
2310,2018-04-20,483
2314,2018-04-21,484
2323,2018-04-23,485
2331,2018-04-24,486
2335,2018-04-25,487
2336,2018-04-26,488
2344,2018-04-27,489
2349,2018-04-28,490
2354,2018-04-29,491
2355,2018-05-14,492
2358,2018-05-15,493
2362,2018-05-16,494
2368,2018-05-17,495
2373,2018-05-18,496
2385,2018-05-19,497
2392,2018-05-21,498
2396,2018-05-22,499
2402,2018-05-23,500
2410,2018-05-24,501
2413,2018-05-25,502
2419,2018-05-26,503
2426,2018-05-28,504
2431,2018-05-29,505
2437,2018-05-30,506
2438,2018-05-31,507
2443,2018-06-13,508
2446,2018-06-14,509
2450,2018-06-15,510
2456,2018-06-16,511
2461,2018-06-18,512
2464,2018-06-19,513
2467,2018-06-20,514
2470,2018-06-21,515
2475,2018-06-22,516
2482,2018-06-23,517
2491,2018-06-24,518
2492,2018-06-25,519
2500,2018-06-26,520
2502,2018-06-27,521
2508,2018-06-28,522
2511,2018-06-29,523
2518,2018-06-30,524
2523,2018-07-13,525
2533,2018-07-14,526
2538,2018-07-16,527
2541,2018-07-17,528
2543,2018-07-18,529
2545,2018-07-19,530
2549,2018-07-20,531
2556,2018-07-21,532
2561,2018-07-23,533
2564,2018-07-24,534
2568,2018-07-25,535
2574,2018-07-26,536
2575,2018-07-27,537
2580,2018-07-28,538
2585,2018-07-30,539
2588,2018-07-31,540
2589,2018-08-13,541
2592,2018-08-14,542
2595,2018-08-15,543
2598,2018-08-16,544
2601,2018-08-17,545
2606,2018-08-18,546
2611,2018-08-20,547
2612,2018-08-21,548
2613,2018-08-22,549
2616,2018-08-23,550
2617,2018-08-24,551
2623,2018-08-25,552
2632,2018-08-26,553
2633,2018-08-27,554
2634,2018-08-28,555
2636,2018-08-29,556
2643,2018-08-30,557
2645,2018-08-31,558
2654,2018-09-13,559
2659,2018-09-14,560
2667,2018-09-15,561
2677,2018-09-17,562
2679,2018-09-18,563
2682,2018-09-19,564
2684,2018-09-20,565
2685,2018-09-21,566
2696,2018-09-22,567
2703,2018-09-24,568
2704,2018-09-25,569
2706,2018-09-26,570
2712,2018-09-27,571
2716,2018-09-28,572
2724,2018-09-29,573
2725,2018-01-10,574
2728,2018-02-10,575
2735,2018-03-10,576
2740,2018-04-10,577
2743,2018-05-10,578
2749,2018-07-10,579
2753,2018-08-10,580
2755,2018-10-10,581
2758,2018-11-10,582
2769,2018-12-10,583
2773,2018-10-13,584
2777,2018-10-15,585
2782,2018-10-16,586
2783,2018-10-17,587
2787,2018-10-18,588
2791,2018-10-19,589
2798,2018-10-20,590
2804,2018-10-22,591
2808,2018-10-23,592
2809,2018-10-24,593
2814,2018-10-25,594
2818,2018-10-26,595
2823,2018-10-27,596
2830,2018-10-29,597
2833,2018-10-30,598
2840,2018-10-31,599
2843,2018-01-11,600
2845,2018-04-11,601
2849,2018-05-11,602
2854,2018-07-11,603
2858,2018-08-11,604
2862,2018-09-11,605
2864,2018-10-11,606
2865,2018-12-11,607
2869,2018-11-13,608
2871,2018-11-14,609
2873,2018-11-15,610
2881,2018-11-16,611
2888,2018-11-17,612
2893,2018-11-18,613
2894,2018-11-19,614
2897,2018-11-20,615
2899,2018-11-21,616
2906,2018-11-22,617
2908,2018-11-23,618
2917,2018-11-24,619
2920,2018-11-26,620
2929,2018-11-27,621
2933,2018-11-28,622
2938,2018-11-29,623
2943,2018-11-30,624
2953,2018-01-12,625
2957,2018-02-12,626
2962,2018-03-12,627
2964,2018-04-12,628
2972,2018-05-12,629
2978,2018-06-12,630
2980,2018-09-12,631
2982,2018-10-12,632
2986,2018-12-12,633
2991,2018-12-13,634
2999,2018-12-14,635
3009,2018-12-15,636
3014,2018-12-16,637
3015,2018-12-17,638
3019,2018-12-18,639
3021,2018-12-19,640
3023,2018-12-20,641
3030,2018-12-21,642
3035,2018-12-24,643
3037,2018-12-27,644
3038,2018-12-31,645
3039,2019-01-14,646
3040,2019-01-15,647
3042,2019-01-16,648
3043,2019-01-17,649
3045,2019-01-18,650
3048,2019-01-21,651
3054,2019-01-22,652
3055,2019-01-23,653
3061,2019-01-24,654
3062,2019-01-25,655
3065,2019-01-26,656
3066,2019-01-29,657
3070,2019-01-31,658
3072,2019-02-13,659
3076,2019-02-14,660
3083,2019-02-15,661
3086,2019-02-16,662
3087,2019-02-18,663
3092,2019-02-19,664
3094,2019-02-20,665
3099,2019-02-21,666
3101,2019-02-22,667
3106,2019-02-23,668
3111,2019-02-24,669
3112,2019-02-25,670
3119,2019-02-26,671
3120,2019-02-27,672
3126,2019-02-28,673
3129,2019-03-13,674
3135,2019-03-14,675
3140,2019-03-15,676
3147,2019-03-16,677
3150,2019-03-18,678
3153,2019-03-19,679
3155,2019-03-20,680
3159,2019-03-21,681
3162,2019-03-22,682
3171,2019-03-23,683
3172,2019-03-25,684
3174,2019-03-26,685
3177,2019-03-27,686
3178,2019-03-28,687
3182,2019-03-29,688
3189,2019-03-30,689
3199,2019-03-31,690
3200,2019-04-13,691
3213,2019-04-15,692
3217,2019-04-16,693
3219,2019-04-17,694
3222,2019-04-18,695
3230,2019-04-20,696
3231,2019-04-21,697
3232,2019-04-23,698
3234,2019-04-24,699
3240,2019-04-26,700
3246,2019-04-27,701
3250,2019-04-29,702
3251,2019-04-30,703
3257,2019-05-13,704
3266,2019-05-14,705
3271,2019-05-15,706
3276,2019-05-16,707
3282,2019-05-17,708
3284,2019-05-18,709
3286,2019-05-20,710
3290,2019-05-21,711
3293,2019-05-22,712
3302,2019-05-23,713
3308,2019-05-24,714
3317,2019-05-25,715
3323,2019-05-27,716
3327,2019-05-28,717
3330,2019-05-29,718
3338,2019-05-30,719
3347,2019-05-31,720
3354,2019-06-13,721
3359,2019-06-14,722
3363,2019-06-15,723
3374,2019-06-17,724
3385,2019-06-18,725
3391,2019-06-19,726
3397,2019-06-20,727
3401,2019-06-21,728
3415,2019-06-22,729
3419,2019-06-23,730
3420,2019-06-24,731
3423,2019-06-25,732
3429,2019-06-26,733
3435,2019-06-27,734
3440,2019-06-28,735
3448,2019-06-29,736
3455,2019-06-30,737
3456,2019-07-13,738
3462,2019-07-15,739
3463,2019-07-16,740
3469,2019-07-17,741
3474,2019-07-18,742
3479,2019-07-19,743
3489,2019-07-20,744
3497,2019-07-21,745
3498,2019-07-22,746
3504,2019-07-23,747
3511,2019-07-24,748
3515,2019-07-25,749
3521,2019-07-26,750
3529,2019-07-27,751
3538,2019-07-28,752
3541,2019-07-29,753
3546,2019-07-30,754
3548,2019-07-31,755
3555,2019-08-13,756
3561,2019-08-14,757
3563,2019-08-15,758
3566,2019-08-16,759
3572,2019-08-17,760
3579,2019-08-19,761
3586,2019-08-21,762
3589,2019-08-22,763
3591,2019-08-23,764
3600,2019-08-24,765
3605,2019-08-26,766
3610,2019-08-27,767
3614,2019-08-28,768
3618,2019-08-29,769
3621,2019-08-31,770
3627,2019-09-13,771
3630,2019-09-14,772
3642,2019-09-16,773
3647,2019-09-17,774
3655,2019-09-18,775
3659,2019-09-19,776
3663,2019-09-20,777
3668,2019-09-21,778
3675,2019-09-22,779
3676,2019-09-23,780
3678,2019-09-24,781
3682,2019-09-26,782
3688,2019-09-27,783
3697,2019-09-28,784
3701,2019-09-29,785
3702,2019-09-30,786
3704,2019-04-10,787
3708,2019-05-10,788
3711,2019-07-10,789
3720,2019-08-10,790
3727,2019-09-10,791
3732,2019-10-10,792
3738,2019-11-10,793
3741,2019-12-10,794
3743,2019-10-14,795
3745,2019-10-15,796
3756,2019-10-16,797
3761,2019-10-17,798
3765,2019-10-18,799
3773,2019-10-19,800
3783,2019-10-21,801
3789,2019-10-22,802
3792,2019-10-23,803
3798,2019-10-24,804
3800,2019-10-25,805
3814,2019-10-26,806
3832,2019-10-28,807
3836,2019-10-29,808
3839,2019-10-30,809
3847,2019-10-31,810
3851,2019-02-11,811
3853,2019-03-11,812
3859,2019-04-11,813
3863,2019-05-11,814
3868,2019-06-11,815
3875,2019-07-11,816
3883,2019-09-11,817
3889,2019-10-11,818
3895,2019-11-11,819
3904,2019-12-11,820
3909,2019-11-13,821
3920,2019-11-14,822
3923,2019-11-15,823
3935,2019-11-16,824
3952,2019-11-18,825
3963,2019-11-19,826
3973,2019-11-20,827
3978,2019-11-21,828
3985,2019-11-22,829
3998,2019-11-23,830
4012,2019-11-24,831
4013,2019-11-25,832
4020,2019-11-26,833
4026,2019-11-27,834
4032,2019-11-28,835
4046,2019-11-29,836
4059,2019-11-30,837
4070,2019-02-12,838
4071,2019-03-12,839
4081,2019-04-12,840
4089,2019-05-12,841
4090,2019-06-12,842
4098,2019-07-12,843
4103,2019-08-12,844
4109,2019-09-12,845
4117,2019-10-12,846
4122,2019-11-12,847
4125,2019-12-12,848
4132,2019-12-13,849
4142,2019-12-14,850
4155,2019-12-15,851
4156,2019-12-16,852
4161,2019-12-17,853
4164,2019-12-18,854
4169,2019-12-19,855
4178,2019-12-20,856
4191,2019-12-23,857
4193,2019-12-24,858
4194,2019-12-28,859
4195,2019-12-30,860
4196,2019-12-31,861
4198,2020-01-13,862
4202,2020-01-14,863
4207,2020-01-15,864
4211,2020-01-16,865
4219,2020-01-17,866
4226,2020-01-18,867
4227,2020-01-19,868
4228,2020-01-21,869
4235,2020-01-22,870
4238,2020-01-23,871
4241,2020-01-24,872
4244,2020-01-25,873
4246,2020-01-28,874
4252,2020-01-29,875
4255,2020-01-30,876
4260,2020-01-31,877
4264,2020-02-13,878
4267,2020-02-14,879
4278,2020-02-15,880
4285,2020-02-17,881
4288,2020-02-18,882
4295,2020-02-19,883
4299,2020-02-20,884
4305,2020-02-21,885
4317,2020-02-22,886
4335,2020-02-24,887
4340,2020-02-25,888
4347,2020-02-26,889
4351,2020-02-27,890
4359,2020-02-28,891
4368,2020-02-29,892
4382,2020-03-13,893
4387,2020-03-14,894
4401,2020-03-15,895
4402,2020-03-16,896
4407,2020-03-17,897
4410,2020-03-18,898
4415,2020-03-19,899
4419,2020-03-20,900
4424,2020-03-21,901
4433,2020-03-23,902
4440,2020-03-24,903
4446,2020-03-25,904
4450,2020-03-26,905
4451,2020-03-27,906
4455,2020-03-28,907
4457,2020-03-29,908
4458,2020-03-30,909
4461,2020-03-31,910
4463,2020-04-13,911
4466,2020-04-14,912
4467,2020-04-15,913
4470,2020-04-16,914
4472,2020-04-17,915
4474,2020-04-18,916
4475,2020-04-19,917
4476,2020-04-20,918
4478,2020-04-21,919
4484,2020-04-22,920
4486,2020-04-23,921
4491,2020-04-24,922
4498,2020-04-25,923
4499,2020-04-26,924
4500,2020-04-27,925
4504,2020-04-28,926
4509,2020-04-29,927
4511,2020-04-30,928
4521,2020-05-13,929
4526,2020-05-14,930
4531,2020-05-15,931
4538,2020-05-16,932
4542,2020-05-18,933
4545,2020-05-19,934
4548,2020-05-20,935
4550,2020-05-21,936
4551,2020-05-22,937
4559,2020-05-23,938
4563,2020-05-25,939
4567,2020-05-26,940
4574,2020-05-27,941
4579,2020-05-28,942
4582,2020-05-29,943
4587,2020-05-30,944
4593,2020-05-31,945
4594,2020-06-13,946
4605,2020-06-14,947
4607,2020-06-15,948
4610,2020-06-16,949
4615,2020-06-17,950
4620,2020-06-18,951
4622,2020-06-19,952
4631,2020-06-20,953
4637,2020-06-22,954
4640,2020-06-23,955
4647,2020-06-24,956
4649,2020-06-25,957
4653,2020-06-26,958
4664,2020-06-27,959
4672,2020-06-28,960
4673,2020-06-29,961
4679,2020-06-30,962
4689,2020-07-13,963
4692,2020-07-14,964
4699,2020-07-15,965
4704,2020-07-16,966
4708,2020-07-17,967
4723,2020-07-18,968
4730,2020-07-20,969
4734,2020-07-21,970
4739,2020-07-22,971
4743,2020-07-23,972
4751,2020-07-24,973
4761,2020-07-25,974
4769,2020-07-27,975
4776,2020-07-28,976
4785,2020-07-29,977
4787,2020-07-30,978
4796,2020-07-31,979
4803,2020-08-13,980
4811,2020-08-14,981
4827,2020-08-15,982
4841,2020-08-17,983
4845,2020-08-18,984
4852,2020-08-19,985
4862,2020-08-20,986
4871,2020-08-21,987
4883,2020-08-22,988
4901,2020-08-24,989
4907,2020-08-25,990
4915,2020-08-26,991
4923,2020-08-27,992
4937,2020-08-28,993
4956,2020-08-29,994
4966,2020-08-31,995
4971,2020-09-13,996
4972,2020-09-14,997
4976,2020-09-15,998
4985,2020-09-16,999
4993,2020-09-17,1000
5001,2020-09-18,1001
5006,2020-09-19,1002
5015,2020-09-20,1003
5017,2020-09-21,1004
5018,2020-09-22,1005
5024,2020-09-23,1006
5030,2020-09-24,1007
5035,2020-09-25,1008
5050,2020-09-26,1009
5068,2020-09-27,1010
5069,2020-09-28,1011
5074,2020-09-29,1012
5086,2020-09-30,1013
5094,2020-01-10,1014
5100,2020-02-10,1015
5106,2020-03-10,1016
5115,2020-04-10,1017
5116,2020-06-10,1018
5119,2020-07-10,1019
5133,2020-08-10,1020
5144,2020-09-10,1021
5148,2020-10-10,1022
5168,2020-11-10,1023
5177,2020-12-10,1024
5185,2020-10-13,1025
5196,2020-10-14,1026
5210,2020-10-15,1027
5215,2020-10-16,1028
5229,2020-10-17,1029
5247,2020-10-18,1030
5249,2020-10-19,1031
5259,2020-10-20,1032
5265,2020-10-21,1033
5274,2020-10-22,1034
5281,2020-10-23,1035
5298,2020-10-24,1036
5320,2020-10-26,1037
5330,2020-10-27,1038
5343,2020-10-28,1039
5354,2020-10-29,1040
5366,2020-10-30,1041
5382,2020-10-31,1042
5399,2020-02-11,1043
5401,2020-03-11,1044
5406,2020-05-11,1045
5409,2020-07-11,1046
5415,2020-08-11,1047
5420,2020-09-11,1048
5429,2020-11-11,1049
5436,2020-12-11,1050
5456,2020-11-13,1051
5473,2020-11-14,1052
5492,2020-11-15,1053
5494,2020-11-16,1054
5506,2020-11-17,1055
5522,2020-11-18,1056
5529,2020-11-19,1057
5538,2020-11-20,1058
5553,2020-11-21,1059
5570,2020-11-23,1060
5577,2020-11-24,1061
5588,2020-11-25,1062
5597,2020-11-26,1063
5607,2020-11-27,1064
5621,2020-11-28,1065
5638,2020-11-30,1066
5642,2020-01-12,1067
5644,2020-02-12,1068
5652,2020-03-12,1069
5658,2020-05-12,1070
5662,2020-06-12,1071
5667,2020-08-12,1072
5673,2020-09-12,1073
5685,2020-10-12,1074
5694,2020-11-12,1075
5702,2020-12-12,1076
5732,2020-12-13,1077
5733,2020-12-14,1078
5743,2020-12-15,1079
5751,2020-12-16,1080
5766,2020-12-17,1081
5772,2020-12-18,1082
5788,2020-12-19,1083
5798,2020-12-20,1084
5800,2020-12-21,1085
5805,2020-12-22,1086
5811,2020-12-23,1087
5825,2020-12-24,1088
5828,2020-12-28,1089
5829,2020-12-30,1090
5830,2021-01-13,1091
5832,2021-01-14,1092
5839,2021-01-15,1093
5849,2021-01-16,1094
5851,2021-01-18,1095
5859,2021-01-19,1096
5867,2021-01-20,1097
5872,2021-01-21,1098
5878,2021-01-22,1099
5889,2021-01-23,1100
5890,2021-01-24,1101
5891,2021-01-25,1102
5902,2021-01-27,1103
5907,2021-01-28,1104
5912,2021-01-29,1105
5921,2021-01-30,1106
5933,2021-02-13,1107
5957,2021-02-14,1108
5958,2021-02-15,1109
5960,2021-02-16,1110
5963,2021-02-17,1111
5974,2021-02-18,1112
5986,2021-02-19,1113
6003,2021-02-20,1114
6031,2021-02-21,1115
6033,2021-02-22,1116
6038,2021-02-23,1117
6050,2021-02-24,1118
6061,2021-02-25,1119
6069,2021-02-26,1120
6090,2021-02-27,1121
