Postcode,suburb,LHD
2035,MAROUBRA BEACH,South East Sydney
2035,MAROUBRA JUNCTION,South East Sydney
2035,MAROUBRA SOUTH,South East Sydney
2035,PAGEWOOD,South East Sydney
2036,BUNNERONG,South East Sydney
2036,CHIFLEY,South East Sydney
2036,EASTGARDENS,South East Sydney
2036,HILLSDALE,South East Sydney
2036,LA PEROUSE,South East Sydney
2036,LITTLE BAY,South East Sydney
2036,LONG BAY,South East Sydney
2036,MALABAR,South East Sydney
2036,MALABAR HEIGHTS,South East Sydney
2036,MATRAVILLE,South East Sydney
2036,PHILLIP BAY,South East Sydney
2037,FOREST LODGE,Sydney
2037,FOREST LODGE NSW,Sydney
2037,GLEBE,Sydney
2037,GLEBE NSW,Sydney
2037,GLEBE POINT,Sydney
2038,ANNANDALE,Sydney
2038,ANNANDALE NSW,Sydney
2039,ROZELLE,Sydney
2040,LEICHHARDT,Sydney
2040,LILYFIELD,Sydney
2041,BALMAIN,Sydney
2041,BALMAIN EAST,Sydney
2041,BALMAIN NSW,Sydney
2041,BIRCHGROVE,Sydney
2041,BIRCHGROVE NSW,Sydney
2042,ENMORE,Sydney
2042,NEWTOWN,Sydney
2042,NEWTOWN NSW,Sydney
2043,ERSKINEVILLE,Sydney
2044,ST PETERS,Sydney
2044,SYDENHAM,Sydney
2044,TEMPE,Sydney
2045,HABERFIELD,Sydney
2046,ABBOTSFORD,Sydney
2046,ABBOTSFORD POINT,Sydney
2046,CANADA BAY,Sydney
2046,CHISWICK,Sydney
2046,FIVE DOCK,Sydney
2046,RODD POINT,Sydney
2046,RUSSELL LEA,Sydney
2046,WAREEMBA,Sydney
2047,DRUMMOYNE,Sydney
2048,STANMORE,Sydney
2049,LEWISHAM,Sydney
2049,LEWISHAM NSW,Sydney
2049,PETERSHAM,Sydney
2049,PETERSHAM NSW,Sydney
2050,CAMPERDOWN,Sydney
2050,CAMPERDOWN NSW,Sydney
2055,NORTH SYDNEY,Northern Sydney
2059,NORTH SYDNEY,Northern Sydney
2060,LAVENDER BAY,Northern Sydney
2060,MCMAHONS POINT,Northern Sydney
2060,NORTH SYDNEY,Northern Sydney
2060,WAVERTON,Northern Sydney
2061,KIRRIBILLI,Northern Sydney
2061,MILSONS POINT,Northern Sydney
2062,CAMMERAY,Northern Sydney
2063,NORTHBRIDGE,Northern Sydney
2064,ARTARMON,Northern Sydney
2065,CROWS NEST,Northern Sydney
2065,GREENWICH,Northern Sydney
2065,GREENWICH POINT,Northern Sydney
2065,NAREMBURN,Northern Sydney
2065,ROYAL NORTH SHORE HOSPITAL,Northern Sydney
2065,ST LEONARDS,Northern Sydney
2065,WOLLSTONECRAFT,Northern Sydney
2066,LANE COVE,Northern Sydney
2066,LANE COVE NORTH,Northern Sydney
2066,LANE COVE WEST,Northern Sydney
2066,LINLEY POINT,Northern Sydney
2066,LONGUEVILLE,Northern Sydney
2066,NORTH LANE COVE,Northern Sydney
2066,NORTHWOOD,Northern Sydney
2066,RIVERVIEW,Northern Sydney
2066,WEST LANE COVE,Northern Sydney
2067,CHATSWOOD,Northern Sydney
2067,CHATSWOOD WEST,Northern Sydney
2068,CASTLECRAG,Northern Sydney
2068,EAST WILLOUGHBY,Northern Sydney
2068,MIDDLE COVE,Northern Sydney
2068,WILLOUGHBY,Northern Sydney
2068,WILLOUGHBY NORTH,Northern Sydney
2069,CASTLE COVE,Northern Sydney
2069,EAST ROSEVILLE,Northern Sydney
2069,ROSEVILLE,Northern Sydney
2069,ROSEVILLE CHASE,Northern Sydney
2070,EAST LINDFIELD,Northern Sydney
2070,LINDFIELD,Northern Sydney
2070,LINDFIELD WEST,Northern Sydney
2070,WEST LINDFIELD,Northern Sydney
2071,EAST KILLARA,Northern Sydney
2071,KILLARA,Northern Sydney
2072,GORDON,Northern Sydney
2073,PYMBLE,Northern Sydney
2073,WEST PYMBLE,Northern Sydney
2074,NORTH TURRAMURRA,Northern Sydney
2074,SOUTH TURRAMURRA,Northern Sydney
2074,TURRAMURRA,Northern Sydney
2074,TURRAMURRA EAST,Northern Sydney
2074,WARRAWEE,Northern Sydney
2075,ST IVES,Northern Sydney
2075,ST IVES CHASE,Northern Sydney
2075,ST IVES NORTH,Northern Sydney
2076,NORMANHURST,Northern Sydney
2076,NORTH WAHROONGA,Northern Sydney
2076,WAHROONGA,Northern Sydney
2076,WAHROONGA SOUTH,Northern Sydney
2077,ASQUITH,Northern Sydney
2077,HORNSBY,Northern Sydney
2077,HORNSBY HEIGHTS,Northern Sydney
2077,HORNSBY NORTHGATE,Northern Sydney
2077,HORNSBY NSW,Northern Sydney
2077,HORNSBY SOUTH,Northern Sydney
2077,WAITARA,Northern Sydney
2077,WAITARA EAST,Northern Sydney
2079,MOUNT COLAH,Northern Sydney
2080,MOUNT KURINGGAI,Northern Sydney
2081,BEROWRA,Northern Sydney
2081,COWAN,Northern Sydney
2081,COWAN NORTH,Northern Sydney
2082,BEROWRA HEIGHTS,Northern Sydney
2082,BEROWRA WATERS,Northern Sydney
2083,BAR POINT,Central Coast
2083,BROOKLYN,Northern Sydney
2083,CHEERO POINT,Central Coast
2083,DANGAR ISLAND,Northern Sydney
2083,HAWKESBURY RIVER,Northern Sydney
2083,MOONEY MOONEY,Central Coast
2083,MOONEY MOONEY CREEK,Central Coast
2084,DUFFYS FOREST,Northern Sydney
2084,TERREY HILLS,Northern Sydney
2085,BELROSE,Northern Sydney
2085,BELROSE WEST,Northern Sydney
2085,DAVIDSON,Northern Sydney
2086,FRENCHS FOREST,Northern Sydney
2086,FRENCHS FOREST EAST,Northern Sydney
2087,FORESTVILLE,Northern Sydney
2087,KILLARNEY HEIGHTS,Northern Sydney
2088,BALMORAL,Northern Sydney
2088,BALMORAL BEACH,Northern Sydney
2088,CLIFTON GARDENS,Northern Sydney
2088,MOSMAN,Northern Sydney
2088,MOSMAN BAY,Northern Sydney
2088,MOSMAN JUNCTION,Northern Sydney
2088,SPIT JUNCTION,Northern Sydney
2089,KURRABA POINT,Northern Sydney
2089,NEUTRAL BAY,Northern Sydney
2089,NEUTRAL BAY JUNCTION,Northern Sydney
2090,CREMORNE,Northern Sydney
2090,CREMORNE JUNCTION,Northern Sydney
2090,CREMORNE POINT,Northern Sydney
2092,SEAFORTH,Northern Sydney
2093,BALGOWLAH,Northern Sydney
2093,BALGOWLAH HEIGHTS,Northern Sydney
2093,CLONTARF,Northern Sydney
2093,MANLY VALE,Northern Sydney
2093,NORTH BALGOWLAH,Northern Sydney
2094,FAIRLIGHT,Northern Sydney
